date,series,female.line,n.female,female.age,male.line,n.male,male.age,mate.time1,mate.time2,mate.time3,mate.time4,mate.time5,n.mate.30m,n.mate.1hr,ratio.30m,ratio.1hr
9525,5,21,5,10,21,10,10,21.8,36.9,NA,NA,NA,1,2,0.2,0.4
9528,5,21,5,13,21,10,13,51.8,58.6,NA,NA,NA,0,2,0,0.4
9601,8,21,5,16,21,10,16,50.2,50.2,60.3,NA,NA,0,2,0,0.4
9603,26,21,5,18,21,10,18,49.4,NA,NA,NA,NA,0,1,0,0.2
9606,17,21,5,21,21,10,16,26.4,52.7,NA,NA,NA,1,2,0.2,0.4
30-Sep,23,21,4,8,21,10,6,37.7,39.3,45.6,NA,NA,0,3,0,0.75
9=01,17,21,5,9,21,10,7,16.1,37.4,38.4,NA,NA,1,3,0.2,0.6
9=02,11,21,5,9,21,10,6,17,24.6,33.6,56,NA,2,4,0.4,0.8
9=09,23,21,5,15,21,10,8,NA,NA,NA,NA,NA,0,0,0,0
9=15,16,21,5,4,21,10,7,21.9,39.4,52.8,NA,NA,0,3,0,0.6
mean,,,,,,,,,,,,,5,22,1,4.55
,,,,,,,,,,,,, ,,0.3,2.6
9525,4,21,5,10,OS,10,9,6.3,10.4,13.5,23.6,28.2,5,5,1,1
9528,4,21,5,13,OS,10,8,11.8,11.9,15.1,23,NA,4,4,0.8,0.8
9601,7,21,5,16,OS,10,9,8.4,10.7,13.2,19.3,23.2,5,5,1,1
9603,25,21,5,18,OS,10,6,14.5,25.3,31.6,55.8,NA,2,4,0.4,0.8
9606,16,21,5,21,OS,10,5,6.5,37.2,45.1,52.9,NA,1,4,0.2,0.8
30-Sep,22,21,5,8,OS,10,4,11.8,17.1,22.7,47.3,NA,3,4,0.6,0.8
9=01,16,21,5,9,OS,10,5,6.9,14.9,23.2,23.4,57.8,4,5,0.8,1
9=02,10,21,5,9,OS,10,6,7.1,10.5,15.8,19,47.8,4,5,0.8,1
9=09,22,21,5,15,OS,10,8,10.9,16.1,16.1,26.4,45.7,4,5,0.8,1
9=15,15,21,5,4,OS,10,13,6.6,8.1,15.6,25.1,NA,4,4,0.8,0.8
,,,,,,,,,,,,,36,45,7.2,9
,,,,,,,,,,,,, ,,5.8,8.2
9525,6,OS,5,16,21,10,10,42.4,42.9,NA,NA,NA,0,2,0,0.4
9528,6,OS,5,11,21,10,13,31.6,37.4,51.6,NA,NA,0,3,0,0.6
9601,9,OS,5,9,21,10,16,61.2,NA,NA,NA,NA,0,0,0,0
9603,27,OS,5,8,21,10,18,NA,NA,NA,NA,NA,0,0,0,0
9606,18,OS,5,8,21,10,16,37.1,NA,NA,NA,NA,0,1,0,0.2
30-Sep,24,OS,5,5,21,10,6,36.4,NA,NA,NA,NA,0,1,0,0.2
9=01,18,OS,5,6,21,10,7,42.2,53.1,NA,NA,NA,0,2,0,0.4
9=02,12,OS,5,7,21,10,6,31,44.4,48.2,55.6,NA,0,4,0,0.8
9=09,24,OS,5,8,21,10,8,NA,NA,NA,NA,NA,0,0,0,0
9=15,17,OS,5,13,21,10,7,46.1,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,0,14,0,2.8
,,,,,,,,,,,,, ,,0,1.4
9525,8,26,5,10,26,9,10,44.7,NA,NA,NA,NA,0,1,0,0.2
9528,8,26,5,12,26,10,12,42.5,NA,NA,NA,NA,0,1,0,0.2
9601,11,26,5,15,26,10,11,34.3,41.9,NA,NA,NA,0,2,0,0.4
9803,2,26,5,6,26,10,9,29.8,34.2,52.4,NA,NA,1,3,0.2,0.6
9804,17,26,5,7,26,10,7,56.6,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,1,8,0.2,1.6
,,,,,,,,,,,,, ,,0,0.64
9525,7,26,5,10,OS,10,9,8,10.1,15.4,22.1,23.2,5,5,1,1
9528,7,26,5,12,OS,10,8,19.6,45.5,NA,NA,NA,1,2,0.2,0.4
9601,10,26,5,15,OS,10,9,7.1,14.3,29.3,36,36.1,3,5,0.6,1
9803,1,26,5,6,OS,10,7,7.5,13.5,13.6,14.7,16.8,5,5,1,1
9804,16,26,5,7,OS,10,8,8,9.3,17.3,35.6,NA,3,4,0.6,0.8
,,,,,,,,,,,,,17,21,3.4,4.2
,,,,,,,,,,,,, ,,2.8,3.8
9525,9,OS,5,16,26,10,10,42.2,NA,NA,NA,NA,0,1,0,0.2
9528,9,OS,5,11,26,10,12,NA,NA,NA,NA,NA,0,0,0,0
9601,12,OS,5,9,26,10,11,29.1,51.1,NA,NA,NA,1,2,0.2,0.4
9803,3,OS,5,7,26,10,9,23.3,49.8,NA,NA,NA,1,2,0.2,0.4
9804,18,OS,5,8,26,10,7,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,2,5,0.4,1
,,,,,,,,,,,,, ,,0.1,0.36
9525,11,28,5,10,28,10,10,25.6,50.3,NA,NA,NA,1,2,0.2,0.4
9528,11,28,5,12,28,10,12,8.2,14.8,NA,NA,NA,2,2,0.4,0.4
9601,14,28,5,16,28,10,16,NA,NA,NA,NA,NA,0,0,0,0
9603,29,28,5,17,28,10,13,NA,NA,NA,NA,NA,0,0,0,0
9803,5,28,5,5,28,10,9,44.2,52.4,NA,NA,NA,0,2,0,0.4
,,,,,,,,,,,,,3,6,0.6,1.2
,,,,,,,,,,,,, ,,0.2,0.48
9525,10,28,5,10,OS,10,9,6.2,17.9,27.3,48,NA,3,4,0.6,0.8
9528,10,28,5,12,OS,10,8,29.8,49.3,NA,NA,NA,1,2,0.2,0.4
9601,13,28,5,16,OS,10,9,21.3,27.3,58.7,NA,NA,2,3,0.4,0.6
9603,28,28,5,17,OS,10,6,NA,NA,NA,NA,NA,0,0,0,0
9803,4,28,5,5,OS,10,7,13.1,13.3,24.7,33,NA,3,4,0.6,0.8
,,,,,,,,,,,,,9,13,1.8,2.6
,,,,,,,,,,,,, ,,0.9,1.8
9525,12,OS,5,16,28,10,10,25.6,NA,NA,NA,NA,1,1,0.2,0.2
9528,12,OS,5,11,28,10,12,23.2,28.5,42.9,NA,NA,2,3,0.4,0.6
9601,15,OS,5,9,28,10,16,25.2,32.5,46.8,NA,NA,1,3,0.2,0.6
9603,30,OS,5,8,28,10,13,17.5,27,50.5,NA,NA,2,3,0.4,0.6
9803,6,OS,5,7,28,10,9,37.1,57.3,NA,NA,NA,0,2,0,0.4
,,,,,,,,,,,,,6,12,1.2,2.4
,,,,,,,,,,,,, ,,0.4,1.28
9502,2,38,5,9,38,10,8,9.4,16.3,16.5,27.5,36.2,4,5,0.8,1
9505,26,38,5,9,38,10,7,11.8,15.6,35.3,47.9,NA,2,4,0.4,0.8
9511,8,38,5,13,38,10,10,20.3,36.7,NA,NA,NA,1,2,0.2,0.4
9515,17,38,5,16,38,10,13,12.1,19.1,26.4,31.1,31.2,3,5,0.6,1
9817,17,38,5,7,38,10,10,22.8,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,11,17,2.2,3.4
,,,,,,,,,,,,, ,,1.2,2.84
9502,1,38,5,9,OS,11,14,7.3,13.5,13.5,18.2,21.3,5,5,1,1
9505,25,38,5,9,OS,10,15,7.1,8.6,12.9,13.2,21.9,5,5,1,1
9511,7,38,5,13,OS,10,8,7,15.7,16,24.5,39.4,4,5,0.8,1
9515,16,38,5,16,OS,10,6,4,10.9,12.1,21.2,25.4,5,5,1,1
9817,16,38,5,7,OS,10,5,12.1,19.2,26.2,40.9,NA,3,4,0.6,0.8
,,,,,,,,,,,,,22,24,4.4,4.8
,,,,,,,,,,,,, ,,4,4.64
9502,3,OS,5,11,38,10,8,27.3,38.5,58,NA,NA,1,3,0.2,0.6
9505,27,OS,5,12,38,10,7,9.8,24.3,34.1,47.7,NA,2,4,0.4,0.8
9511,9,OS,5,9,38,10,10,25.4,45.6,54.5,NA,NA,1,3,0.2,0.6
9515,18,OS,5,9,38,10,13,24.2,30.5,30.8,40,NA,1,4,0.2,0.8
9817,18,OS,5,8,38,10,10,32.6,45.3,53.4,NA,NA,0,3,0,0.6
,,,,,,,,,,,,,5,17,1,3.4
,,,,,,,,,,,,, ,,0.3,2.36
30-Sep,2,40,4,10,40,10,9,18.8,18.9,39.6,NA,NA,2,3,0.5,0.75
30-Sep,26,40,5,10,40,10,9,12.1,14.4,21.7,38.6,NA,3,4,0.6,0.8
9=01,20,40,5,9,40,10,9,9.5,9.7,21.5,31.1,34.8,3,5,0.6,1
9=02,14,40,5,10,40,10,7,7.3,7.4,15.3,19.8,NA,4,4,0.8,0.8
9=09,5,40,5,17,40,10,10,12.3,23.4,28.5,43.3,43.4,3,5,0.6,1
,,,,,,,,,,,,,15,21,3.1,4.35
,,,,,,,,,,,,, ,,2,3.8425
30-Sep,1,40,5,10,OS,10,4,10.2,10.6,19,49.9,NA,3,4,0.6,0.8
30-Sep,25,40,5,10,OS,10,4,7.8,7.9,14.7,19.9,NA,4,4,0.8,0.8
9=01,19,40,5,9,OS,10,5,6.4,21.4,21.6,52,NA,3,4,0.6,0.8
9=02,13,40,5,10,OS,10,6,8.5,8.6,8.6,19.9,33.3,4,5,0.8,1
9=09,4,40,5,17,OS,10,8,7.9,15.5,NA,NA,NA,2,2,0.4,0.4
,,,,,,,,,,,,,16,19,3.2,3.8
,,,,,,,,,,,,, ,,2.2,3.08
30-Sep,3,OS,5,5,40,10,9,29.3,39,39.6,56.5,NA,1,4,0.2,0.8
30-Sep,27,OS,5,5,40,10,9,21.7,31.3,47.7,55.5,56.2,1,5,0.2,1
9=01,21,OS,5,6,40,10,9,12.1,12.2,15.5,15.7,NA,4,4,0.8,0.8
9=02,15,OS,5,7,40,10,7,18,28.5,37.9,52.4,60,2,5,0.4,1
9=09,6,OS,5,8,40,10,10,16.4,17.4,25,38,NA,3,4,0.6,0.8
,,,,,,,,,,,,,11,22,2.2,4.4
,,,,,,,,,,,,, ,,1.2,3.92
9525,14,41,5,9,41,10,10,53.4,NA,NA,NA,NA,0,1,0,0.2
9528,14,41,5,12,41,10,13,NA,NA,NA,NA,NA,0,0,0,0
9601,17,41,5,15,41,10,16,NA,NA,NA,NA,NA,0,0,0,0
9803,8,41,5,5,41,10,9,19.4,NA,NA,NA,NA,1,1,0.2,0.2
9804,20,41,5,5,41,10,8,13,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,2,3,0.4,0.6
,,,,,,,,,,,,, ,,0.1,0.12
9525,13,41,5,9,OS,10,9,13.4,25.6,44.8,NA,NA,2,3,0.4,0.6
9528,13,41,5,12,OS,10,8,17.4,NA,NA,NA,NA,1,1,0.2,0.2
9601,16,41,5,15,OS,10,9,43.1,NA,NA,NA,NA,0,1,0,0.2
9803,7,41,5,5,OS,10,7,14.3,20.5,20.7,30.9,49.2,3,5,0.6,1
9804,19,41,5,5,OS,10,8,13.3,24,29.9,43.2,NA,3,4,0.6,0.8
,,,,,,,,,,,,,9,14,1.8,2.8
,,,,,,,,,,,,, ,,0.9,2.08
9525,15,OS,5,16,41,10,10,41.8,NA,NA,NA,NA,0,1,0,0.2
9528,15,OS,5,11,41,10,13,24.9,42,54,54,NA,1,4,0.2,0.8
9601,18,OS,5,9,41,10,16,25.7,55.3,NA,NA,NA,1,2,0.2,0.4
9803,9,OS,5,7,41,10,9,40.9,51.6,57.7,NA,NA,0,3,0,0.6
9804,21,OS,5,8,41,10,8,22.4,30.8,45.1,NA,NA,1,3,0.2,0.6
,,,,,,,,,,,,,3,13,0.6,2.6
,,,,,,,,,,,,, ,,0.1,1.56
9502,5,42,5,9,42,10,9,48.6,NA,NA,NA,NA,0,1,0,0.2
