DGRP.Eff,OSfemale.Eff,OSmale.Eff
-0.1149,-0.03699,-0.05692
8.97E-02,4.16E-02,5.14E-02
-9.17E-02,-1.44E-01,3.09E-02
-7.40E-02,-2.62E-02,-9.29E-02
-2.67E-02,-8.59E-02,1.71E-02
-7.22E-02,-9.09E-02,3.02E-03
-5.41E-02,-1.19E-02,-1.11E-01
-2.93E-02,-1.17E-03,-9.09E-02
4.72E-02,-3.67E-03,8.59E-02
4.43E-02,-5.27E-03,8.64E-02
-4.05E-02,8.38E-03,-8.88E-02
7.35E-02,9.62E-02,9.47E-03
5.59E-02,8.38E-02,1.69E-04
-8.05E-02,-1.19E-01,-4.56E-02
-1.00E-01,-1.63E-01,1.54E-02
-1.17E-01,-3.67E-02,-1.75E-01
-1.22E-01,-6.56E-02,-5.61E-02
-1.22E-01,-6.56E-02,-5.61E-02
9.33E-02,1.81E-02,6.11E-02
-8.61E-02,-2.58E-02,-4.65E-02
-7.91E-02,-8.52E-02,-1.28E-02
-9.13E-02,-1.09E-01,-5.40E-02
1.21E-01,4.81E-02,7.09E-02
1.10E-01,5.71E-02,5.11E-02
-8.41E-02,-5.46E-02,-5.89E-02
-6.42E-02,-8.42E-03,-9.17E-02
4.40E-02,1.15E-02,8.58E-02
-1.15E-01,-8.88E-02,-3.60E-02
-1.15E-01,-8.89E-02,-3.62E-02
-1.11E-01,-8.58E-02,-3.49E-02
-1.13E-01,-8.70E-02,-3.99E-02
9.30E-02,5.18E-02,4.69E-02
-1.09E-01,-5.72E-02,-6.41E-02
7.18E-02,1.25E-01,7.05E-03
-4.20E-02,-7.41E-02,9.49E-03
9.79E-02,5.82E-02,3.20E-02
-4.27E-02,7.10E-03,-8.17E-02
-2.68E-02,2.57E-02,-8.09E-02
-8.26E-02,-1.01E-01,-2.52E-02
-3.67E-02,-8.86E-02,3.85E-03
-4.37E-02,-9.62E-02,-6.84E-04
-3.52E-02,-9.48E-02,5.56E-04
-4.57E-02,-8.16E-02,-1.40E-02
-4.62E-02,-9.17E-02,-1.13E-04
-3.49E-02,-7.80E-02,1.33E-04
-5.46E-02,8.13E-04,-8.65E-02
-3.10E-02,-9.42E-02,1.16E-03
-8.34E-02,-3.27E-02,-1.67E-02
-9.81E-02,-1.68E-02,-9.34E-02
-9.91E-02,-4.42E-02,-4.53E-02
-2.74E-02,1.40E-02,-8.22E-02
-3.63E-02,2.16E-02,-7.69E-02
-2.93E-02,1.02E-02,-8.37E-02
-3.32E-02,1.04E-02,-8.52E-02
-3.21E-02,9.86E-03,-8.40E-02
-3.23E-02,1.18E-02,-8.18E-02
9.38E-02,3.62E-02,4.93E-02
5.87E-02,1.08E-01,4.61E-02
-4.27E-02,-7.24E-02,2.38E-02
-4.27E-02,-7.24E-02,2.38E-02
9.02E-02,5.34E-02,3.26E-02
6.97E-02,8.80E-02,1.54E-02
-3.27E-02,-1.05E-01,1.49E-02
1.01E-01,3.00E-02,6.61E-02
